4410<=x<=4440; y=1987.000000+-0.433333x; interpolation
4440<=x<=4470; y=655.000000+-0.133333x; interpolation
4470<=x<=4500; y=-2027.000000+0.466667x; interpolation
4500<=x<=4530; y=-827.000000+0.200000x; interpolation
4530<=x<=4560; y=3099.000000+-0.666667x; interpolation
4560<=x<=4590; y=-397.000000+0.100000x; interpolation
4590<=x<=4620; y=-2080.000000+0.466667x; interpolation
4620<=x<=4650; y=384.000000+-0.066667x; interpolation
4650<=x<=4680; y=2244.000000+-0.466667x; interpolation
4680<=x<=4710; y=-252.000000+0.066667x; interpolation
4710<=x<=4740; y=-2450.000000+0.533333x; interpolation
4740<=x<=4770; y=1026.000000+-0.200000x; interpolation
4770<=x<=4800; y=1821.000000+-0.366667x; interpolation
4800<=x<=4830; y=-2179.000000+0.466667x; interpolation
4830<=x<=4860; y=2168.000000+-0.433333x; interpolation
4860<=x<=4890; y=-100.000000+0.033333x; interpolation
4890<=x<=4920; y=-2545.000000+0.533333x; interpolation
4920<=x<=4950; y=243.000000+-0.033333x; interpolation
4950<=x<=4980; y=2718.000000+-0.533333x; interpolation
4980<=x<=5010; y=-602.000000+0.133333x; interpolation
5010<=x<=5040; y=-1604.000000+0.333333x; interpolation
5040<=x<=5070; y=-260.000000+0.066667x; interpolation
5070<=x<=5100; y=2951.000000+-0.566667x; interpolation
5100<=x<=5130; y=-279.000000+0.066667x; interpolation
5130<=x<=5160; y=-2673.000000+0.533333x; interpolation
5160<=x<=5190; y=1283.000000+-0.233333x; interpolation
5190<=x<=5220; y=1629.000000+-0.300000x; interpolation
5220<=x<=5250; y=237.000000+-0.033333x; interpolation
5250<=x<=5280; y=-2563.000000+0.500000x; interpolation
5280<=x<=5310; y=77.000000+0.000000x; interpolation
5310<=x<=5340; y=2909.000000+-0.533333x; interpolation
5340<=x<=5370; y=-295.000000+0.066667x; interpolation
5370<=x<=5400; y=-1906.000000+0.366667x; interpolation
5400<=x<=5430; y=74.000000+0.000000x; interpolation
5430<=x<=5460; y=2065.000000+-0.366667x; interpolation
5460<=x<=5490; y=63.000000+0.000000x; interpolation
5490<=x<=5520; y=-2682.000000+0.500000x; interpolation
5520<=x<=5550; y=446.000000+-0.066667x; interpolation
5550<=x<=5580; y=2666.000000+-0.466667x; interpolation
5580<=x<=5610; y=248.000000+-0.033333x; interpolation
5610<=x<=5640; y=-2744.000000+0.500000x; interpolation
5640<=x<=5670; y=76.000000+0.000000x; interpolation
