8280<=x<8310; y=66.000000+0.000000x; interpolation
8310<=x<8340; y=-5197.000000+0.633333x; interpolation
8340<=x<8370; y=641.000000+-0.066667x; interpolation
8370<=x<8400; y=4826.000000+-0.566667x; interpolation
8400<=x<8430; y=-494.000000+0.066667x; interpolation
8430<=x<8460; y=-5271.000000+0.633333x; interpolation
8460<=x<8490; y=933.000000+-0.100000x; interpolation
8490<=x<8520; y=5178.000000+-0.600000x; interpolation
8520<=x<8550; y=-786.000000+0.100000x; interpolation
8550<=x<8580; y=-2781.000000+0.333333x; interpolation
8580<=x<8610; y=-1065.000000+0.133333x; interpolation
8610<=x<8640; y=4962.000000+-0.566667x; interpolation
8640<=x<8670; y=-510.000000+0.066667x; interpolation
8670<=x<8700; y=-221.000000+0.033333x; interpolation
8700<=x<8730; y=649.000000+-0.066667x; interpolation
8730<=x<8760; y=-4589.000000+0.533333x; interpolation
8760<=x<8790; y=1835.000000+-0.200000x; interpolation
8790<=x<8820; y=-2853.000000+0.333333x; interpolation
8820<=x<8850; y=1851.000000+-0.200000x; interpolation
8850<=x<8880; y=4506.000000+-0.500000x; interpolation
8880<=x<8910; y=-526.000000+0.066667x; interpolation
8910<=x<8940; y=-4981.000000+0.566667x; interpolation
8940<=x<8970; y=1873.000000+-0.200000x; interpolation
8970<=x<9000; y=1275.000000+-0.133333x; interpolation
9000<=x<9030; y=-2025.000000+0.233333x; interpolation
9030<=x<9060; y=5500.000000+-0.600000x; interpolation
9060<=x<9090; y=-540.000000+0.066667x; interpolation
9090<=x<9120; y=-5388.000000+0.600000x; interpolation
9120<=x<9150; y=388.000000+-0.033333x; interpolation
9150<=x<9180; y=4658.000000+-0.500000x; interpolation
9180<=x<9210; y=-2380.000000+0.266667x; interpolation
9210<=x<9240; y=3146.000000+-0.333333x; interpolation
9240<=x<9270; y=-5170.000000+0.566667x; interpolation
9270<=x<9300; y=392.000000+-0.033333x; interpolation
9300<=x<9330; y=1012.000000+-0.100000x; interpolation
9330<=x<9360; y=-1476.000000+0.166667x; interpolation
9360<=x<9390; y=2268.000000+-0.233333x; interpolation
9390<=x<9420; y=4146.000000+-0.433333x; interpolation
9420<=x<9450; y=-5902.000000+0.633333x; interpolation
9450<=x<9480; y=4493.000000+-0.466667x; interpolation
9480<=x<9510; y=-3091.000000+0.333333x; interpolation
9510<=x<9540; y=-1506.000000+0.166667x; interpolation
9540<=x<9570; y=1356.000000+-0.133333x; interpolation
9570<=x<9600; y=-877.000000+0.100000x; interpolation
9600<=x<9630; y=3603.000000+-0.366667x; interpolation
9630<=x<9660; y=-3138.000000+0.333333x; interpolation
9660<=x<9690; y=1048.000000+-0.100000x; interpolation
9690<=x<9720; y=4601.000000+-0.466667x; interpolation
9720<=x<9750; y=-907.000000+0.100000x; interpolation
9750<=x<9780; y=1043.000000+-0.100000x; interpolation
9780<=x<9810; y=-587.000000+0.066667x; interpolation
9810<=x<9840; y=-4838.000000+0.500000x; interpolation
9840<=x<9870; y=4674.000000+-0.466667x; interpolation
9870<=x<9900; y=1055.000000+-0.100000x; interpolation
9900<=x<9930; y=-1255.000000+0.133333x; interpolation
9930<=x<9960; y=-3903.000000+0.400000x; interpolation
9960<=x<9990; y=3733.000000+-0.366667x; interpolation
9990<=x<10020; y=-2261.000000+0.233333x; interpolation
10020<=x<10050; y=4419.000000+-0.433333x; interpolation
10050<=x<10080; y=-271.000000+0.033333x; interpolation
10080<=x<10110; y=-3295.000000+0.333333x; interpolation
10110<=x<10140; y=-599.000000+0.066667x; interpolation
10140<=x<10170; y=-261.000000+0.033333x; interpolation
10170<=x<10200; y=-1278.000000+0.133333x; interpolation
10200<=x<10230; y=3142.000000+-0.300000x; interpolation
10230<=x<10260; y=-609.000000+0.066667x; interpolation
10260<=x<10290; y=759.000000+-0.066667x; interpolation
10290<=x<10320; y=-2671.000000+0.266667x; interpolation
10320<=x<10350; y=2833.000000+-0.266667x; interpolation
10350<=x<10380; y=3178.000000+-0.300000x; interpolation
10380<=x<10410; y=64.000000+0.000000x; interpolation
10410<=x<10440; y=-6182.000000+0.600000x; interpolation
10440<=x<10470; y=6694.000000+-0.633333x; interpolation
10470<=x<10500; y=-984.000000+0.100000x; interpolation
10500<=x<10530; y=-5534.000000+0.533333x; interpolation
10530<=x<10560; y=5698.000000+-0.533333x; interpolation
10560<=x<10590; y=418.000000+-0.033333x; interpolation
10590<=x<10620; y=-288.000000+0.033333x; interpolation
10620<=x<10650; y=-6306.000000+0.600000x; interpolation
10650<=x<10680; y=794.000000+-0.066667x; interpolation
10680<=x<10710; y=438.000000+-0.033333x; interpolation
10710<=x<10740; y=5436.000000+-0.500000x; interpolation
10740<=x<10770; y=782.000000+-0.066667x; interpolation
10770<=x<10800; y=-5321.000000+0.500000x; interpolation
10800<=x<10830; y=-1361.000000+0.133333x; interpolation
10830<=x<10860; y=6220.000000+-0.566667x; interpolation
10860<=x<10890; y=1152.000000+-0.100000x; interpolation
10890<=x<10920; y=-300.000000+0.033333x; interpolation
10920<=x<10950; y=-3576.000000+0.333333x; interpolation
10950<=x<10980; y=3359.000000+-0.300000x; interpolation
10980<=x<11010; y=-6523.000000+0.600000x; interpolation
11010<=x<11040; y=1184.000000+-0.100000x; interpolation
11040<=x<11070; y=6336.000000+-0.566667x; interpolation
11070<=x<11100; y=-1044.000000+0.100000x; interpolation
11100<=x<11130; y=-1044.000000+0.100000x; interpolation
11130<=x<11160; y=-4012.000000+0.366667x; interpolation
11160<=x<11190; y=80.000000+0.000000x; interpolation
11190<=x<11220; y=-293.000000+0.033333x; interpolation
11220<=x<11250; y=6813.000000+-0.600000x; interpolation
11250<=x<11280; y=-6687.000000+0.600000x; interpolation
11280<=x<11310; y=6473.000000+-0.566667x; interpolation
11310<=x<11340; y=441.000000+-0.033333x; interpolation
11340<=x<11370; y=-315.000000+0.033333x; interpolation
11370<=x<11400; y=-6379.000000+0.566667x; interpolation
11400<=x<11430; y=-679.000000+0.066667x; interpolation
11430<=x<11460; y=1607.000000+-0.133333x; interpolation
11460<=x<11490; y=5427.000000+-0.466667x; interpolation
11490<=x<11520; y=-5297.000000+0.466667x; interpolation
11520<=x<11550; y=-1457.000000+0.133333x; interpolation
11550<=x<11580; y=4703.000000+-0.400000x; interpolation
11580<=x<11610; y=-4175.000000+0.366667x; interpolation
11610<=x<11640; y=856.000000+-0.066667x; interpolation
11640<=x<11670; y=468.000000+-0.033333x; interpolation
11670<=x<11700; y=79.000000+0.000000x; interpolation
11700<=x<11730; y=79.000000+0.000000x; interpolation
11730<=x<11760; y=3989.000000+-0.333333x; interpolation
11760<=x<11790; y=-5419.000000+0.466667x; interpolation
11790<=x<11820; y=1655.000000+-0.133333x; interpolation
11820<=x<11850; y=6383.000000+-0.533333x; interpolation
11850<=x<11880; y=-1517.000000+0.133333x; interpolation
11880<=x<11910; y=-5477.000000+0.466667x; interpolation
11910<=x<11940; y=5639.000000+-0.466667x; interpolation
11940<=x<11970; y=1261.000000+-0.100000x; interpolation
11970<=x<12000; y=-734.000000+0.066667x; interpolation
12000<=x<12030; y=-5934.000000+0.500000x; interpolation
12030<=x<12060; y=883.000000+-0.066667x; interpolation
12060<=x<12090; y=2089.000000+-0.166667x; interpolation
12090<=x<12120; y=-1941.000000+0.166667x; interpolation
12120<=x<12150; y=6543.000000+-0.533333x; interpolation
12150<=x<12180; y=-1962.000000+0.166667x; interpolation
12180<=x<12210; y=-6834.000000+0.566667x; interpolation
12210<=x<12240; y=7004.000000+-0.566667x; interpolation
12240<=x<12270; y=-6460.000000+0.533333x; interpolation
12270<=x<12300; y=6628.000000+-0.533333x; interpolation
12300<=x<12330; y=-4032.000000+0.333333x; interpolation
12330<=x<12360; y=4188.000000+-0.333333x; interpolation
12360<=x<12390; y=-6112.000000+0.500000x; interpolation
12390<=x<12420; y=6691.000000+-0.533333x; interpolation
12420<=x<12450; y=1309.000000+-0.100000x; interpolation
12450<=x<12480; y=-8651.000000+0.700000x; interpolation
12480<=x<12510; y=8405.000000+-0.666667x; interpolation
12510<=x<12540; y=-4939.000000+0.400000x; interpolation
12540<=x<12570; y=5929.000000+-0.466667x; interpolation
12570<=x<12600; y=-1194.000000+0.100000x; interpolation
12600<=x<12630; y=-6234.000000+0.500000x; interpolation
12630<=x<12660; y=1765.000000+-0.133333x; interpolation
12660<=x<12690; y=-2455.000000+0.200000x; interpolation
12690<=x<12720; y=3044.000000+-0.233333x; interpolation
12720<=x<12750; y=-1196.000000+0.100000x; interpolation
12750<=x<12780; y=6454.000000+-0.500000x; interpolation
12780<=x<12810; y=-362.000000+0.033333x; interpolation
12810<=x<12840; y=-5913.000000+0.466667x; interpolation
12840<=x<12870; y=-1205.000000+0.100000x; interpolation
12870<=x<12900; y=-347.000000+0.033333x; interpolation
12900<=x<12930; y=3093.000000+-0.233333x; interpolation
12930<=x<12960; y=-355.000000+0.033333x; interpolation
12960<=x<12990; y=5261.000000+-0.400000x; interpolation
